unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1517097600,1/28/2018 0:00,ETH/USD,1115.51,1240,1099.76,1229.41,34733431.76,29175.42
1517011200,1/27/2018 0:00,ETH/USD,1051.81,1126.01,1034.45,1115.51,31570026.1,29317.95
1516924800,1/26/2018 0:00,ETH/USD,1050,1075.9,984,1051.81,40473858.68,39359.62
1516838400,1/25/2018 0:00,ETH/USD,1065,1105,1014.48,1050,65357176.23,62196.24
1516752000,1/24/2018 0:00,ETH/USD,983.7,1069.65,957.69,1065,45222578.83,44493.76
1516665600,1/23/2018 0:00,ETH/USD,997.21,1024.98,905,983.7,60151552.29,61938.03
1516579200,1/22/2018 0:00,ETH/USD,1049.09,1092,917,997.21,48078073.65,48389.73
1516492800,1/21/2018 0:00,ETH/USD,1150,1151,1008,1049.09,39711684.02,37050.56
1516406400,1/20/2018 0:00,ETH/USD,1036.03,1171,1036.03,1150,35856520.99,31922.41
1516320000,1/19/2018 0:00,ETH/USD,1024.69,1095,995.01,1036.03,51792512.24,49838.57
1516233600,1/18/2018 0:00,ETH/USD,1029.22,1105,951.12,1024.69,99181551.38,96056.34
1516147200,1/17/2018 0:00,ETH/USD,1057.88,1109.58,761.61,1029.22,162181963.9,179200
1516060800,1/16/2018 0:00,ETH/USD,1276.71,1281.16,862.11,1057.88,136634452.9,127923.05
1515974400,1/15/2018 0:00,ETH/USD,1359.59,1379,1269,1276.71,44691560.27,33997.65
1515888000,1/14/2018 0:00,ETH/USD,1384.78,1389,1265,1359.59,46817527.9,35328.24
1515801600,1/13/2018 0:00,ETH/USD,1258.68,1420,1256,1384.78,56577725.3,41803.41
1515715200,1/12/2018 0:00,ETH/USD,1135,1288.34,1080.59,1258.68,56579737.77,46451.21
1515628800,1/11/2018 0:00,ETH/USD,1240.48,1334.33,1100,1135,114736730.7,95639.75
1515542400,1/10/2018 0:00,ETH/USD,1287.47,1378.99,1187.96,1240.48,125834355.1,96347.51
1515456000,1/9/2018 0:00,ETH/USD,1130,1301,1115,1287.47,123662002.1,102885.38
1515369600,1/8/2018 0:00,ETH/USD,1117.96,1229.76,964,1130,123173201.9,109477.59
1515283200,1/7/2018 0:00,ETH/USD,1004.27,1118.72,1000,1117.96,50605502.35,47293.11
1515196800,1/6/2018 0:00,ETH/USD,966,1009.22,950.01,1004.27,29708300.53,29967.36
1515110400,1/5/2018 0:00,ETH/USD,940,1022,924.69,966,50807581.42,52023.54
1515024000,1/4/2018 0:00,ETH/USD,940.4,999.91,895.52,940,73312586.84,77160.74
1514937600,1/3/2018 0:00,ETH/USD,858.6,950,850,940.4,50614980.68,57117.21
1514851200,1/2/2018 0:00,ETH/USD,752.78,888,752.78,858.6,57231450.99,67628.49
1514764800,1/1/2018 0:00,ETH/USD,743.48,768.87,722.02,752.78,21811639.35,29181.94
1514678400,12/31/2017 0:00,ETH/USD,698.46,759.08,687.03,743.48,17864222.87,24771.96
1514592000,12/30/2017 0:00,ETH/USD,732.67,740.72,659.06,698.46,41619597.01,59596.87
1514505600,12/29/2017 0:00,ETH/USD,717.23,758,709,732.67,32932640.32,44816.84
1514419200,12/28/2017 0:00,ETH/USD,738.78,739.8,666,717.23,28006548.75,40099.34
1514332800,12/27/2017 0:00,ETH/USD,751.09,770,704.54,738.78,39840501.45,53760.85
1514246400,12/26/2017 0:00,ETH/USD,724,765,716.7,751.09,17964660.22,24164.54
1514160000,12/25/2017 0:00,ETH/USD,686.96,750,684,724,30624272.73,42706.02
1514073600,12/24/2017 0:00,ETH/USD,699.86,704.93,604.19,686.96,29335293.78,45120.39
1513987200,12/23/2017 0:00,ETH/USD,669.36,755,649.57,699.86,29124563.94,40879.14
1513900800,12/22/2017 0:00,ETH/USD,783.8,792.5,501,669.36,104608927.3,164428.2
1513814400,12/21/2017 0:00,ETH/USD,797.1,842.73,752,783.8,60484270.34,75451.39
1513728000,12/20/2017 0:00,ETH/USD,817.72,833.67,721.02,797.1,64005220.28,81483.02
1513641600,12/19/2017 0:00,ETH/USD,787.28,870,772.91,817.72,71504353.38,87098.13
1513555200,12/18/2017 0:00,ETH/USD,706.91,800.39,671.56,787.28,42506114.15,57460.08
1513468800,12/17/2017 0:00,ETH/USD,684,726,683.06,706.91,19664123.78,27771.42
1513382400,12/16/2017 0:00,ETH/USD,676.36,711.77,665.5,684,16434500.56,23905.72
1513296000,12/15/2017 0:00,ETH/USD,689.69,692.5,601.13,676.36,36087695.59,54771.22
1513209600,12/14/2017 0:00,ETH/USD,694.5,745,647.5,689.69,62301015.17,89396.17
1513123200,12/13/2017 0:00,ETH/USD,620.59,742.23,585,694.5,85319760.43,127713.17
1513036800,12/12/2017 0:00,ETH/USD,503.47,645.55,487,620.59,53634930.74,95283.01
1512950400,12/11/2017 0:00,ETH/USD,425.07,505,421.17,503.47,20712267.88,44543.45
1512864000,12/10/2017 0:00,ETH/USD,456.38,459.44,401.33,425.07,12703843.48,29510.03
1512777600,12/9/2017 0:00,ETH/USD,440.27,497.99,433,456.38,22439454.27,48252.92
1512691200,12/8/2017 0:00,ETH/USD,411.03,454.85,391,440.27,25139946.87,58296.63
1512604800,12/7/2017 0:00,ETH/USD,415.83,436.42,400,411.03,20297020.09,48889.8
1512518400,12/6/2017 0:00,ETH/USD,455.76,459.85,405.88,415.83,22125584.99,50979.87
1512432000,12/5/2017 0:00,ETH/USD,467.83,471.9,450.49,455.76,10475929.75,22812.03
1512345600,12/4/2017 0:00,ETH/USD,463,473.9,446.2,467.83,14339920.11,31067.36
1512259200,12/3/2017 0:00,ETH/USD,456.04,482.8,441.02,463,15385296.14,33041.92
1512172800,12/2/2017 0:00,ETH/USD,460.3,472.32,447,456.04,10679948.95,23203.04
1512086400,12/1/2017 0:00,ETH/USD,435.09,469.4,415.16,460.3,13628268.39,30626.87
1512000000,11/30/2017 0:00,ETH/USD,423.9,455.99,388,435.09,24829664.37,59144.71
1511913600,11/29/2017 0:00,ETH/USD,464.95,519.23,405,423.9,54776310.04,116769.92
1511827200,11/28/2017 0:00,ETH/USD,474.67,478.15,457.61,464.95,23218695.7,49678.07
1511740800,11/27/2017 0:00,ETH/USD,467,487,456.24,474.67,25539860.51,53900.59
1511654400,11/26/2017 0:00,ETH/USD,463,472.76,438.09,467,13208221.61,29143.14
1511568000,11/25/2017 0:00,ETH/USD,471.17,483,451,463,14484869.28,31084.17
1511481600,11/24/2017 0:00,ETH/USD,406.75,478.99,395,471.17,36850995.89,84954.03
1511395200,11/23/2017 0:00,ETH/USD,380.88,426.04,370.11,406.75,31247094.1,77408.69
1511308800,11/22/2017 0:00,ETH/USD,359.6,383.94,358.33,380.88,12961685.49,34942.55
1511222400,11/21/2017 0:00,ETH/USD,366,372.94,345.52,359.6,18500330.41,51067.56
1511136000,11/20/2017 0:00,ETH/USD,354.48,372.88,350,366,10193832.49,28170.7
1511049600,11/19/2017 0:00,ETH/USD,346.96,372,344.01,354.48,11451664,32139.68
1510963200,11/18/2017 0:00,ETH/USD,331.25,349.31,326.3,346.96,8763543.7,26074.43
1510876800,11/17/2017 0:00,ETH/USD,329.91,334.86,325,331.25,8208502.56,24845.12
1510790400,11/16/2017 0:00,ETH/USD,331.88,335.16,321,329.91,11257762.02,34360.48
1510704000,11/15/2017 0:00,ETH/USD,335.54,340,323.19,331.88,9039874.86,27052.55
1510617600,11/14/2017 0:00,ETH/USD,315.81,340.99,314.95,335.54,16066296.01,48769.57
1510531200,11/13/2017 0:00,ETH/USD,306.1,320.69,305.91,316.14,11517856.3,36613.5
1510444800,11/12/2017 0:00,ETH/USD,315.76,318.98,300.11,306.1,14854823.36,48200.8
1510358400,11/11/2017 0:00,ETH/USD,298.66,322.19,298,315.76,7328431.51,23836.74
1510272000,11/10/2017 0:00,ETH/USD,321.32,325.61,291,298.66,10580539.65,34411.65
1510185600,11/9/2017 0:00,ETH/USD,322.15,331.7,317.29,321.32,4270934.9,13118.15
1510099200,11/8/2017 0:00,ETH/USD,0,0,0,0,0,0
1510012800,11/7/2017 0:00,ETH/USD,0,0,0,0,0,0
1509926400,11/6/2017 0:00,ETH/USD,0,0,0,0,0,0
1509840000,11/5/2017 0:00,ETH/USD,0,0,0,0,0,0
1509753600,11/4/2017 0:00,ETH/USD,0,0,0,0,0,0
1509667200,11/3/2017 0:00,ETH/USD,0,0,0,0,0,0
1509580800,11/2/2017 0:00,ETH/USD,0,0,0,0,0,0
1509494400,11/1/2017 0:00,ETH/USD,0,0,0,0,0,0
1509408000,10/31/2017 0:00,ETH/USD,0,0,0,0,0,0
1509321600,10/30/2017 0:00,ETH/USD,0,0,0,0,0,0
1509235200,10/29/2017 0:00,ETH/USD,0,0,0,0,0,0
1509148800,10/28/2017 0:00,ETH/USD,0,0,0,0,0,0
1509062400,10/27/2017 0:00,ETH/USD,0,0,0,0,0,0
1508976000,10/26/2017 0:00,ETH/USD,0,0,0,0,0,0
1508889600,10/25/2017 0:00,ETH/USD,0,0,0,0,0,0
1508803200,10/24/2017 0:00,ETH/USD,0,0,0,0,0,0
1508716800,10/23/2017 0:00,ETH/USD,0,0,0,0,0,0
1508630400,10/22/2017 0:00,ETH/USD,0,0,0,0,0,0
1508544000,10/21/2017 0:00,ETH/USD,0,0,0,0,0,0
1508457600,10/20/2017 0:00,ETH/USD,0,0,0,0,0,0
1508371200,10/19/2017 0:00,ETH/USD,0,0,0,0,0,0
1508284800,10/18/2017 0:00,ETH/USD,0,0,0,0,0,0
1508198400,10/17/2017 0:00,ETH/USD,0,0,0,0,0,0
1508112000,10/16/2017 0:00,ETH/USD,0,0,0,0,0,0
1508025600,10/15/2017 0:00,ETH/USD,0,0,0,0,0,0
1507939200,10/14/2017 0:00,ETH/USD,0,0,0,0,0,0
1507852800,10/13/2017 0:00,ETH/USD,0,0,0,0,0,0
1507766400,10/12/2017 0:00,ETH/USD,0,0,0,0,0,0
1507680000,10/11/2017 0:00,ETH/USD,0,0,0,0,0,0
1507593600,10/10/2017 0:00,ETH/USD,0,0,0,0,0,0
1507507200,10/9/2017 0:00,ETH/USD,0,0,0,0,0,0
1507420800,10/8/2017 0:00,ETH/USD,0,0,0,0,0,0
1507334400,10/7/2017 0:00,ETH/USD,0,0,0,0,0,0
1507248000,10/6/2017 0:00,ETH/USD,0,0,0,0,0,0
1507161600,10/5/2017 0:00,ETH/USD,0,0,0,0,0,0
1507075200,10/4/2017 0:00,ETH/USD,0,0,0,0,0,0
1506988800,10/3/2017 0:00,ETH/USD,0,0,0,0,0,0
1506902400,10/2/2017 0:00,ETH/USD,0,0,0,0,0,0
1506816000,10/1/2017 0:00,ETH/USD,0,0,0,0,0,0
1506729600,9/30/2017 0:00,ETH/USD,0,0,0,0,0,0
1506643200,9/29/2017 0:00,ETH/USD,0,0,0,0,0,0
1506556800,9/28/2017 0:00,ETH/USD,0,0,0,0,0,0
1506470400,9/27/2017 0:00,ETH/USD,0,0,0,0,0,0
1506384000,9/26/2017 0:00,ETH/USD,0,0,0,0,0,0
1506297600,9/25/2017 0:00,ETH/USD,0,0,0,0,0,0
1506211200,9/24/2017 0:00,ETH/USD,0,0,0,0,0,0
1506124800,9/23/2017 0:00,ETH/USD,0,0,0,0,0,0
1506038400,9/22/2017 0:00,ETH/USD,0,0,0,0,0,0
1505952000,9/21/2017 0:00,ETH/USD,0,0,0,0,0,0
1505865600,9/20/2017 0:00,ETH/USD,0,0,0,0,0,0
1505779200,9/19/2017 0:00,ETH/USD,0,0,0,0,0,0
1505692800,9/18/2017 0:00,ETH/USD,0,0,0,0,0,0
1505606400,9/17/2017 0:00,ETH/USD,0,0,0,0,0,0
1505520000,9/16/2017 0:00,ETH/USD,0,0,0,0,0,0
1505433600,9/15/2017 0:00,ETH/USD,0,0,0,0,0,0
1505347200,9/14/2017 0:00,ETH/USD,0,0,0,0,0,0
1505260800,9/13/2017 0:00,ETH/USD,0,0,0,0,0,0
1505174400,9/12/2017 0:00,ETH/USD,0,0,0,0,0,0
1505088000,9/11/2017 0:00,ETH/USD,0,0,0,0,0,0
1505001600,9/10/2017 0:00,ETH/USD,0,0,0,0,0,0
1504915200,9/9/2017 0:00,ETH/USD,0,0,0,0,0,0
1504828800,9/8/2017 0:00,ETH/USD,0,0,0,0,0,0
1504742400,9/7/2017 0:00,ETH/USD,0,0,0,0,0,0
1504656000,9/6/2017 0:00,ETH/USD,0,0,0,0,0,0
1504569600,9/5/2017 0:00,ETH/USD,0,0,0,0,0,0
1504483200,9/4/2017 0:00,ETH/USD,0,0,0,0,0,0
1504396800,9/3/2017 0:00,ETH/USD,0,0,0,0,0,0
1504310400,9/2/2017 0:00,ETH/USD,0,0,0,0,0,0
1504224000,9/1/2017 0:00,ETH/USD,0,0,0,0,0,0
1504137600,8/31/2017 0:00,ETH/USD,0,0,0,0,0,0
1504051200,8/30/2017 0:00,ETH/USD,0,0,0,0,0,0
1503964800,8/29/2017 0:00,ETH/USD,0,0,0,0,0,0
1503878400,8/28/2017 0:00,ETH/USD,0,0,0,0,0,0
1503792000,8/27/2017 0:00,ETH/USD,0,0,0,0,0,0
1503705600,8/26/2017 0:00,ETH/USD,0,0,0,0,0,0
1503619200,8/25/2017 0:00,ETH/USD,0,0,0,0,0,0
1503532800,8/24/2017 0:00,ETH/USD,0,0,0,0,0,0
1503446400,8/23/2017 0:00,ETH/USD,0,0,0,0,0,0
1503360000,8/22/2017 0:00,ETH/USD,0,0,0,0,0,0
1503273600,8/21/2017 0:00,ETH/USD,0,0,0,0,0,0
1503187200,8/20/2017 0:00,ETH/USD,0,0,0,0,0,0
1503100800,8/19/2017 0:00,ETH/USD,0,0,0,0,0,0
1503014400,8/18/2017 0:00,ETH/USD,0,0,0,0,0,0
1502928000,8/17/2017 0:00,ETH/USD,0,0,0,0,0,0
1502841600,8/16/2017 0:00,ETH/USD,0,0,0,0,0,0
1502755200,8/15/2017 0:00,ETH/USD,0,0,0,0,0,0
1502668800,8/14/2017 0:00,ETH/USD,0,0,0,0,0,0
1502582400,8/13/2017 0:00,ETH/USD,0,0,0,0,0,0
1502496000,8/12/2017 0:00,ETH/USD,0,0,0,0,0,0
1502409600,8/11/2017 0:00,ETH/USD,0,0,0,0,0,0
1502323200,8/10/2017 0:00,ETH/USD,0,0,0,0,0,0
1502236800,8/9/2017 0:00,ETH/USD,0,0,0,0,0,0
1502150400,8/8/2017 0:00,ETH/USD,0,0,0,0,0,0
1502064000,8/7/2017 0:00,ETH/USD,0,0,0,0,0,0
