Date,Close,Open,High,Low,Vol.,Change %
12-Jul-20,1.0446,1.0126,1.0636,0.9971,1.04M,3.16%
11-Jul-20,1.0126,1.0057,1.0198,1.0013,647.75K,0.69%
10-Jul-20,1.0057,1.0341,1.0355,0.9866,1.34M,-2.75%
9-Jul-20,1.0341,1.0766,1.1117,1.0087,2.01M,-3.95%
8-Jul-20,1.0766,0.9975,1.0836,0.9943,1.76M,7.93%
7-Jul-20,0.9975,0.9715,1.0379,0.9712,1.53M,2.67%
6-Jul-20,0.9715,0.931,0.9755,0.9287,1.07M,4.35%
5-Jul-20,0.931,0.9591,0.9621,0.9176,902.71K,-2.92%
4-Jul-20,0.9591,0.9288,0.96,0.9267,673.58K,3.26%
3-Jul-20,0.9288,0.9233,0.9386,0.9101,693.76K,0.59%
2-Jul-20,0.9233,0.9645,0.9902,0.8947,1.08M,-4.27%
1-Jul-20,0.9645,0.9357,0.9701,0.9127,741.08K,3.08%
30-Jun-20,0.9357,0.9639,0.9714,0.9177,1.25M,-2.93%
29-Jun-20,0.9639,0.9721,0.9794,0.9462,685.51K,-0.85%
28-Jun-20,0.9721,0.9578,0.982,0.9393,816.65K,1.49%
27-Jun-20,0.9578,1.0332,1.0368,0.8906,2.11M,-7.30%
26-Jun-20,1.0332,1.0787,1.0882,1.0138,1.66M,-4.22%
25-Jun-20,1.0787,1.0598,1.0982,1.0194,1.23M,1.78%
24-Jun-20,1.0598,1.1101,1.1432,1.0479,1.55M,-4.53%
23-Jun-20,1.1101,1.1403,1.144,1.0978,1.65M,-2.65%
22-Jun-20,1.1403,1.0713,1.1735,1.071,1.71M,6.43%
21-Jun-20,1.0713,1.119,1.1333,1.0686,983.87K,-4.26%
20-Jun-20,1.119,1.15,1.163,1.0888,1.08M,-2.69%
19-Jun-20,1.15,1.1571,1.196,1.1215,1.53M,-0.62%
18-Jun-20,1.1571,1.2281,1.2771,1.1509,2.89M,-5.78%
17-Jun-20,1.2281,1.1151,1.3069,1.0921,5.38M,10.14%
16-Jun-20,1.1151,1.1055,1.1327,1.0663,1.95M,0.86%
15-Jun-20,1.1055,1.0464,1.1457,0.9289,4.83M,5.65%
14-Jun-20,1.0464,1.1281,1.1303,1.0343,1.27M,-7.05%
13-Jun-20,1.1258,1.1061,1.1434,1.0652,1.55M,1.78%
12-Jun-20,1.1061,1.0529,1.1831,1.025,3.27M,5.06%
11-Jun-20,1.0529,1.1782,1.2758,1.0285,5.15M,-10.63%
10-Jun-20,1.1782,1.1955,1.3147,1.172,4.88M,-1.45%
9-Jun-20,1.1955,1.0423,1.1981,1.0417,3.49M,14.70%
8-Jun-20,1.0423,1.0553,1.0858,1.0232,1.59M,-1.23%
7-Jun-20,1.0553,1.0097,1.1148,0.9991,3.88M,4.52%
6-Jun-20,1.0097,0.9628,1.0864,0.9336,2.94M,4.87%
5-Jun-20,0.9628,0.8937,0.9895,0.8917,1.69M,7.74%
4-Jun-20,0.8937,0.8874,0.9032,0.8655,1.10M,0.71%
3-Jun-20,0.8874,0.8839,0.9104,0.8636,810.21K,0.42%
2-Jun-20,0.8836,0.918,0.9346,0.8496,2.12M,-3.75%
1-Jun-20,0.918,0.8717,0.9323,0.8665,1.72M,5.31%
31-May-20,0.8717,0.8974,0.9021,0.8645,1.17M,-2.87%
30-May-20,0.8974,0.8917,0.9025,0.8627,1.65M,0.64%
29-May-20,0.8917,0.8983,0.9078,0.8812,1.01M,-0.73%
28-May-20,0.8983,0.9098,0.9166,0.8625,1.67M,-1.18%
27-May-20,0.909,0.8923,0.9183,0.8857,1.35M,1.87%
26-May-20,0.8923,0.9387,0.9434,0.8892,1.76M,-4.94%
25-May-20,0.9387,0.8848,0.95,0.8727,1.78M,6.09%
24-May-20,0.8848,0.9475,0.9754,0.8763,899.69K,-6.62%
23-May-20,0.9475,0.9513,1.0103,0.9117,3.42M,-0.40%
22-May-20,0.9513,0.8226,0.9941,0.816,4.28M,15.57%
21-May-20,0.8231,0.891,0.9447,0.7809,4.37M,-7.62%
20-May-20,0.891,0.9086,0.9648,0.8518,4.02M,-1.85%
19-May-20,0.9078,0.8003,0.9794,0.7909,6.20M,13.44%
18-May-20,0.8003,0.7296,0.818,0.7296,1.87M,9.69%
17-May-20,0.7296,0.7515,0.7664,0.7269,1.29M,-2.91%
16-May-20,0.7515,0.7282,0.7845,0.713,2.96M,3.20%
15-May-20,0.7282,0.6984,0.7465,0.661,2.11M,4.27%
14-May-20,0.6984,0.6958,0.7339,0.6864,1.85M,0.37%
13-May-20,0.6958,0.6236,0.738,0.6236,2.46M,11.58%
12-May-20,0.6236,0.5958,0.6426,0.5944,727.24K,4.55%
11-May-20,0.5964,0.6047,0.625,0.5635,1.21M,-1.36%
10-May-20,0.6047,0.6559,0.6559,0.5703,1.37M,-7.81%
9-May-20,0.6559,0.7031,0.7066,0.6541,1.01M,-6.71%
8-May-20,0.7031,0.635,0.7182,0.6199,2.12M,10.71%
7-May-20,0.635,0.6122,0.6398,0.6018,786.44K,3.74%
6-May-20,0.6122,0.6272,0.6432,0.6111,506.20K,-2.40%
5-May-20,0.6272,0.6352,0.6419,0.6133,456.14K,-1.26%
4-May-20,0.6352,0.6457,0.6483,0.6096,555.31K,-1.61%
3-May-20,0.6457,0.638,0.6639,0.6316,950.37K,1.21%
2-May-20,0.6379,0.6298,0.6418,0.6259,355.50K,1.29%
1-May-20,0.6298,0.6252,0.6404,0.6163,581.20K,0.74%
30-Apr-20,0.6252,0.6348,0.69,0.5976,1.82M,-1.51%
29-Apr-20,0.6348,0.5974,0.671,0.5956,2.13M,6.25%
28-Apr-20,0.5974,0.5926,0.5984,0.5827,407.97K,0.82%
27-Apr-20,0.5926,0.5992,0.6022,0.5801,545.45K,-1.11%
26-Apr-20,0.5992,0.585,0.6034,0.5839,488.38K,2.44%
25-Apr-20,0.585,0.5838,0.6012,0.5783,871.92K,0.21%
24-Apr-20,0.5838,0.5734,0.5922,0.5715,735.44K,1.81%
23-Apr-20,0.5734,0.5646,0.6052,0.5519,859.94K,1.56%
22-Apr-20,0.5646,0.5381,0.5709,0.5361,609.31K,4.92%
21-Apr-20,0.5381,0.5433,0.5547,0.5336,450.64K,-0.95%
20-Apr-20,0.5433,0.5793,0.59,0.5251,757.90K,-6.22%
19-Apr-20,0.5793,0.5955,0.6242,0.5679,662.13K,-2.73%
18-Apr-20,0.5955,0.5625,0.6059,0.562,579.60K,5.88%
17-Apr-20,0.5625,0.5533,0.5683,0.5501,533.35K,1.65%
16-Apr-20,0.5533,0.5229,0.5628,0.504,1.07M,5.83%
15-Apr-20,0.5229,0.5504,0.5561,0.5203,717.61K,-5.01%
14-Apr-20,0.5504,0.5379,0.5577,0.5357,637.11K,2.33%
13-Apr-20,0.5379,0.5369,0.5502,0.5195,1.30M,0.17%
12-Apr-20,0.5369,0.5365,0.5634,0.53,1.03M,0.08%
11-Apr-20,0.5365,0.5445,0.5706,0.5259,689.09K,-1.48%
10-Apr-20,0.5445,0.5843,0.5854,0.5278,1.08M,-6.81%
9-Apr-20,0.5843,0.5993,0.5993,0.5712,845.35K,-2.49%
8-Apr-20,0.5993,0.5955,0.6136,0.5921,1.11M,0.63%
7-Apr-20,0.5955,0.615,0.6259,0.5849,1.58M,-3.17%
6-Apr-20,0.615,0.5957,0.617,0.5882,1.76M,3.23%
5-Apr-20,0.5957,0.639,0.6414,0.576,2.16M,-6.77%
4-Apr-20,0.639,0.541,0.6684,0.5383,3.86M,18.12%
3-Apr-20,0.541,0.5358,0.554,0.5235,830.91K,0.96%
2-Apr-20,0.5358,0.4936,0.5447,0.4872,1.33M,8.54%
1-Apr-20,0.4936,0.4688,0.503,0.4623,1.22M,5.30%
31-Mar-20,0.4688,0.4604,0.4755,0.4576,499.81K,1.84%
30-Mar-20,0.4604,0.4358,0.4719,0.432,908.94K,5.63%
29-Mar-20,0.4358,0.4657,0.4669,0.4324,354.08K,-6.42%
28-Mar-20,0.4657,0.4705,0.479,0.4514,1.15M,-1.03%
27-Mar-20,0.4705,0.5055,0.5116,0.4644,771.07K,-6.92%
26-Mar-20,0.5055,0.5085,0.5182,0.4819,805.49K,0.43%
25-Mar-20,0.5033,0.4963,0.5063,0.4727,1.77M,1.42%
24-Mar-20,0.4963,0.499,0.5298,0.4824,2.96M,-0.55%
23-Mar-20,0.499,0.4015,0.5018,0.3974,1.70M,24.29%
22-Mar-20,0.4015,0.4417,0.4609,0.4009,1.21M,-9.10%
21-Mar-20,0.4417,0.4451,0.4623,0.4175,1.66M,-0.77%
20-Mar-20,0.4451,0.4781,0.5331,0.4001,3.16M,-6.91%
19-Mar-20,0.4781,0.4015,0.5069,0.3924,2.79M,19.10%
18-Mar-20,0.4015,0.3729,0.4338,0.34,1.81M,7.67%
17-Mar-20,0.3729,0.3524,0.3802,0.3499,1.74M,5.81%
16-Mar-20,0.3524,0.406,0.406,0.3155,1.33M,-13.21%
15-Mar-20,0.406,0.3865,0.4331,0.3829,773.41K,5.05%
14-Mar-20,0.3865,0.4121,0.4286,0.3776,710.18K,-6.21%
13-Mar-20,0.4121,0.3622,0.4402,0.2589,1.81M,13.78%
12-Mar-20,0.3622,0.6802,0.6815,0.3434,2.21M,-46.76%
11-Mar-20,0.6802,0.6893,0.6938,0.6404,497.02K,-1.31%
10-Mar-20,0.6893,0.6857,0.7128,0.6644,464.37K,0.52%
